"International_data"
"http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2013&v=H&vo=0&so=0&io=0&start=1993&end=2013&vs=INTL.2-2-AFG-BKWH.A~INTL.2-2-ALB-BKWH.A~INTL.2-2-DZA-BKWH.A~INTL.2-2-ASM-BKWH.A~INTL.2-2-AGO-BKWH.A~INTL.2-2-ATA-BKWH.A~INTL.2-2-ATG-BKWH.A~INTL.2-2-ARG-BKWH.A~INTL.2-2-ARM-BKWH.A~INTL.2-2-ABW-BKWH.A~INTL.2-2-AUS-BKWH.A~INTL.2-2-AUT-BKWH.A~INTL.2-2-AZE-BKWH.A~INTL.2-2-BHS-BKWH.A~INTL.2-2-BHR-BKWH.A~INTL.2-2-BGD-BKWH.A~INTL.2-2-BRB-BKWH.A~INTL.2-2-BLR-BKWH.A~INTL.2-2-BEL-BKWH.A~INTL.2-2-BLZ-BKWH.A~INTL.2-2-BEN-BKWH.A~INTL.2-2-BMU-BKWH.A~INTL.2-2-BTN-BKWH.A~INTL.2-2-BOL-BKWH.A~INTL.2-2-BIH-BKWH.A~INTL.2-2-BWA-BKWH.A~INTL.2-2-BRA-BKWH.A~INTL.2-2-BRN-BKWH.A~INTL.2-2-BGR-BKWH.A~INTL.2-2-BFA-BKWH.A~INTL.2-2-MMR-BKWH.A~INTL.2-2-BDI-BKWH.A~INTL.2-2-KHM-BKWH.A~INTL.2-2-CMR-BKWH.A~INTL.2-2-CAN-BKWH.A~INTL.2-2-CPV-BKWH.A~INTL.2-2-CYM-BKWH.A~INTL.2-2-CAF-BKWH.A~INTL.2-2-TCD-BKWH.A~INTL.2-2-CHL-BKWH.A~INTL.2-2-CHN-BKWH.A~INTL.2-2-COL-BKWH.A~INTL.2-2-COM-BKWH.A~INTL.2-2-COG-BKWH.A~INTL.2-2-COD-BKWH.A~INTL.2-2-COK-BKWH.A~INTL.2-2-CRI-BKWH.A~INTL.2-2-CIV-BKWH.A~INTL.2-2-HRV-BKWH.A~INTL.2-2-CUB-BKWH.A~INTL.2-2-CYP-BKWH.A~INTL.2-2-CZE-BKWH.A~INTL.2-2-DNK-BKWH.A~INTL.2-2-DJI-BKWH.A~INTL.2-2-DMA-BKWH.A~INTL.2-2-DOM-BKWH.A~INTL.2-2-ECU-BKWH.A~INTL.2-2-EGY-BKWH.A~INTL.2-2-SLV-BKWH.A~INTL.2-2-GNQ-BKWH.A~INTL.2-2-ERI-BKWH.A~INTL.2-2-EST-BKWH.A~INTL.2-2-ETH-BKWH.A~INTL.2-2-FLK-BKWH.A~INTL.2-2-FRO-BKWH.A~INTL.2-2-FJI-BKWH.A~INTL.2-2-FIN-BKWH.A~INTL.2-2-CSK-BKWH.A~INTL.2-2-SCG-BKWH.A~INTL.2-2-SUN-BKWH.A~INTL.2-2-YUG-BKWH.A~INTL.2-2-FRA-BKWH.A~INTL.2-2-GUF-BKWH.A~INTL.2-2-PYF-BKWH.A~INTL.2-2-GAB-BKWH.A~INTL.2-2-GMB-BKWH.A~INTL.2-2-GEO-BKWH.A~INTL.2-2-DEU-BKWH.A~INTL.2-2-DDR-BKWH.A~INTL.2-2-DEUW-BKWH.A~INTL.2-2-GHA-BKWH.A~INTL.2-2-GIB-BKWH.A~INTL.2-2-GRC-BKWH.A~INTL.2-2-GRL-BKWH.A~INTL.2-2-GRD-BKWH.A~INTL.2-2-GLP-BKWH.A~INTL.2-2-GUM-BKWH.A~INTL.2-2-GTM-BKWH.A~INTL.2-2-GIN-BKWH.A~INTL.2-2-GNB-BKWH.A~INTL.2-2-GUY-BKWH.A~INTL.2-2-HTI-BKWH.A~INTL.2-2-HITZ-BKWH.A~INTL.2-2-HND-BKWH.A~INTL.2-2-HKG-BKWH.A~INTL.2-2-HUN-BKWH.A~INTL.2-2-ISL-BKWH.A~INTL.2-2-IND-BKWH.A~INTL.2-2-IDN-BKWH.A~INTL.2-2-IRN-BKWH.A~INTL.2-2-IRQ-BKWH.A~INTL.2-2-IRL-BKWH.A~INTL.2-2-ISR-BKWH.A~INTL.2-2-ITA-BKWH.A~INTL.2-2-JAM-BKWH.A~INTL.2-2-JPN-BKWH.A~INTL.2-2-JOR-BKWH.A~INTL.2-2-KAZ-BKWH.A~INTL.2-2-KEN-BKWH.A~INTL.2-2-KIR-BKWH.A~INTL.2-2-PRK-BKWH.A~INTL.2-2-KOR-BKWH.A~INTL.2-2-UNK-BKWH.A~INTL.2-2-KWT-BKWH.A~INTL.2-2-KGZ-BKWH.A~INTL.2-2-LAO-BKWH.A~INTL.2-2-LVA-BKWH.A~INTL.2-2-LBN-BKWH.A~INTL.2-2-LSO-BKWH.A~INTL.2-2-LBR-BKWH.A~INTL.2-2-LBY-BKWH.A~INTL.2-2-LTU-BKWH.A~INTL.2-2-LUX-BKWH.A~INTL.2-2-MAC-BKWH.A~INTL.2-2-MKD-BKWH.A~INTL.2-2-MDG-BKWH.A~INTL.2-2-MWI-BKWH.A~INTL.2-2-MYS-BKWH.A~INTL.2-2-MDV-BKWH.A~INTL.2-2-MLI-BKWH.A~INTL.2-2-MLT-BKWH.A~INTL.2-2-MTQ-BKWH.A~INTL.2-2-MRT-BKWH.A~INTL.2-2-MUS-BKWH.A~INTL.2-2-MEX-BKWH.A~INTL.2-2-FSM-BKWH.A~INTL.2-2-MDA-BKWH.A~INTL.2-2-MNG-BKWH.A~INTL.2-2-MNE-BKWH.A~INTL.2-2-MSR-BKWH.A~INTL.2-2-MAR-BKWH.A~INTL.2-2-MOZ-BKWH.A~INTL.2-2-NAM-BKWH.A~INTL.2-2-NRU-BKWH.A~INTL.2-2-NPL-BKWH.A~INTL.2-2-NLD-BKWH.A~INTL.2-2-NLDA-BKWH.A~INTL.2-2-NCL-BKWH.A~INTL.2-2-NZL-BKWH.A~INTL.2-2-NIC-BKWH.A~INTL.2-2-NER-BKWH.A~INTL.2-2-NGA-BKWH.A~INTL.2-2-NIU-BKWH.A~INTL.2-2-MNP-BKWH.A~INTL.2-2-NOR-BKWH.A~INTL.2-2-OMN-BKWH.A~INTL.2-2-PAK-BKWH.A~INTL.2-2-PSE-BKWH.A~INTL.2-2-PAN-BKWH.A~INTL.2-2-PNG-BKWH.A~INTL.2-2-PRY-BKWH.A~INTL.2-2-PER-BKWH.A~INTL.2-2-PHL-BKWH.A~INTL.2-2-POL-BKWH.A~INTL.2-2-PRT-BKWH.A~INTL.2-2-PRI-BKWH.A~INTL.2-2-QAT-BKWH.A~INTL.2-2-REU-BKWH.A~INTL.2-2-ROU-BKWH.A~INTL.2-2-RUS-BKWH.A~INTL.2-2-RWA-BKWH.A~INTL.2-2-SHN-BKWH.A~INTL.2-2-KNA-BKWH.A~INTL.2-2-LCA-BKWH.A~INTL.2-2-SPM-BKWH.A~INTL.2-2-VCT-BKWH.A~INTL.2-2-WSM-BKWH.A~INTL.2-2-STP-BKWH.A~INTL.2-2-SAU-BKWH.A~INTL.2-2-SEN-BKWH.A~INTL.2-2-SRB-BKWH.A~INTL.2-2-SYC-BKWH.A~INTL.2-2-SLE-BKWH.A~INTL.2-2-SGP-BKWH.A~INTL.2-2-SVK-BKWH.A~INTL.2-2-SVN-BKWH.A~INTL.2-2-SLB-BKWH.A~INTL.2-2-SOM-BKWH.A~INTL.2-2-ZAF-BKWH.A~INTL.2-2-ESP-BKWH.A~INTL.2-2-LKA-BKWH.A~INTL.2-2-SDN-BKWH.A~INTL.2-2-SUR-BKWH.A~INTL.2-2-SWZ-BKWH.A~INTL.2-2-SWE-BKWH.A~INTL.2-2-CHE-BKWH.A~INTL.2-2-SYR-BKWH.A~INTL.2-2-TWN-BKWH.A~INTL.2-2-TJK-BKWH.A~INTL.2-2-TZA-BKWH.A~INTL.2-2-THA-BKWH.A~INTL.2-2-TLS-BKWH.A~INTL.2-2-TGO-BKWH.A~INTL.2-2-TON-BKWH.A~INTL.2-2-TTO-BKWH.A~INTL.2-2-TUN-BKWH.A~INTL.2-2-TUR-BKWH.A~INTL.2-2-TKM-BKWH.A~INTL.2-2-TCA-BKWH.A~INTL.2-2-TUV-BKWH.A~INTL.2-2-USIQ-BKWH.A~INTL.2-2-USOH-BKWH.A~INTL.2-2-UGA-BKWH.A~INTL.2-2-UKR-BKWH.A~INTL.2-2-ARE-BKWH.A~INTL.2-2-GBR-BKWH.A~INTL.2-2-USA-BKWH.A~INTL.2-2-URY-BKWH.A~INTL.2-2-UZB-BKWH.A~INTL.2-2-VUT-BKWH.A~INTL.2-2-VEN-BKWH.A~INTL.2-2-VNM-BKWH.A~INTL.2-2-VIR-BKWH.A~INTL.2-2-VGB-BKWH.A~INTL.2-2-WAK-BKWH.A~INTL.2-2-ESH-BKWH.A~INTL.2-2-YEM-BKWH.A~INTL.2-2-ZMB-BKWH.A~INTL.2-2-ZWE-BKWH.A&c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvo&pa=000000200000000000000000000008&f=A&ug=g&ct=0&tl_type=p&tl_id=2-A&s="
"Wed Apr 20 2016 17:07:22 GMT-0400 (EDT)"
"Source: U.S. Energy Information Administration"
,,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"","Consumption","Billion Kwh",1.4,1.5,1.8,2,2.2,2.3,2.3,2.4,2.1,2.2,2.6,2.9,2.9,2.9,3,3.1,3.2,3.2,3.2,3.4,3.7
"","Generation","Billion Kwh",1.5,1.6,1.8,2,2.3,2.4,2.3,2.4,2.4,2.5,3,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,3.7,4.1
"","Bulgaria",""
"","Consumption","Billion Kwh",30,30,33,35,30,30,27,27,27,28,28,28,29,30,31,32,30,30,32,30,29
"","Generation","Billion Kwh",36,36,40,41,40,39,36,38,41,41,40,39,41,43,40,42,40,43,47,43,39
"","Burkina Faso",""
"","Consumption","Billion Kwh",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2
"","Generation","Billion Kwh",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.5,0.6,0.6,0.7
"","Burma (Myanmar)",""
"","Consumption","Billion Kwh",2.1,2.2,2.3,2.4,2.7,2.8,2.9,3.3,3,3.6,4,3.9,3.5,4.2,4.2,4.5,4.8,6.1,7.7,7.8,8.4
"","Generation","Billion Kwh",3.3,3.5,3.9,3.8,4.3,3.9,4.4,4.9,4.5,5,5.4,5.4,5.8,6,6.2,6.4,6.8,7.3,9.7,10,12
"","Burundi",""
"","Consumption","Billion Kwh",0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
"","Generation","Billion Kwh",0.1,0.1,0.1,0.1,0.1,0.1,(s),0.1,0.1,0.1,0.1,(s),(s),(s),0.1,0.1,0.1,0.1,0.2,0.2,0.2
"","Cambodia",""
"","Consumption","Billion Kwh",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.8,1,1.3,1.5,1.7,2,2.3,3,3.3
"","Generation","Billion Kwh",0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.7,0.8,0.9,1.1,1.4,1.4,1.2,0.9,1,1.4,1.7
"","Cameroon",""
"","Consumption","Billion Kwh",2.3,2.2,2.2,2.3,2.5,2.5,2.6,2.7,2.6,2.5,2.8,3.3,3.3,4.4,4.6,5,5.1,5.2,5.2,5.5,6
"","Generation","Billion Kwh",2.7,2.7,2.8,2.9,3.1,3.1,3.3,3.4,3.5,3.3,3.6,4.1,4,5,5.1,5.6,5.6,5.8,5.8,6.1,6.7
"","Canada",""
"","Consumption","Billion Kwh",455,460,467,474,482,479,490,505,506,513,528,534,531,522,535,530,508,506,532,515,533
"","Generation","Billion Kwh",518,540,544,558,558,546,563,588,572,584,572,582,606,593,613,615,595,583,625,615,641
"","Cape Verde",""
"","Consumption","Billion Kwh",(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2
"","Generation","Billion Kwh",(s),(s),(s),(s),(s),(s),0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"","Cayman Islands",""
"","Consumption","Billion Kwh",0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.6
"","Generation","Billion Kwh",0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
"","Central African Republic",""
"","Consumption","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1
"","Generation","Billion Kwh",(s),(s),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"","Chad",""
"","Consumption","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
"","Generation","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
"","Chile",""
"","Consumption","Billion Kwh",20,21,26,28,31,32,35,38,39,41,44,47,48,51,53,54,53,54,59,63,65
"","Generation","Billion Kwh",23,24,29,31,33,35,37,40,41,42,45,49,51,54,56,58,59,58,63,67,70
"","China",""
"","Consumption","Billion Kwh",739,819,877,921,983,1017,1077,1178,1315,1459,1677,1955,2196,2524,2892,3071,3290,3704,4200,4450,4882
"","Generation","Billion Kwh",796,880,956,1005,1070,1104,1172,1281,1427,1585,1810,2104,2373,2717,3108,3297,3527,3975,4483,4750,5207
"","Colombia",""
"","Consumption","Billion Kwh",30,32,33,34,35,34,33,33,34,35,35,37,38,40,42,43,46,47,52,51,47
"","Generation","Billion Kwh",38,41,43,44,45,45,43,42,42,44,46,49,49,53,54,55,56,57,61,59,56
"","Comoros",""
"","Consumption","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
"","Generation","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
"","Congo (Brazzaville)",""
"","Consumption","Billion Kwh",0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.9,1
"","Generation","Billion Kwh",0.4,0.3,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.8,1.3,1.7,1.7
"","Congo (Kinshasa)",""
"","Consumption","Billion Kwh",3.9,4,4.5,4.7,4.4,4.1,4.4,4.5,4.6,4.4,4.6,4.6,4.8,5.7,6.1,6,6.6,6.7,7.1,7.3,7.9
"","Generation","Billion Kwh",5.5,5.3,6.1,6,5,4.7,5.3,5.9,5.9,6.1,6.1,7,7.3,7.5,7.8,7.5,7.8,7.8,7.8,7.9,8.5
"","Cook Islands",""
"","Consumption","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
"","Generation","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
"","Costa Rica",""
"","Consumption","Billion Kwh",4.5,4.8,4.3,4.5,5,4.8,5.5,5.9,6.1,6.3,6.6,6.8,7.3,7.8,8.2,8.3,8.2,8.5,8.6,9,8.9
"","Generation","Billion Kwh",4.9,5.2,4.8,4.7,5.6,5.3,6.1,6.8,6.9,7.4,7.3,8,8.2,8.6,8.9,9.4,9.2,9.5,9.7,10,10
"","Cote dIvoire (IvoryCoast)",""
"","Consumption","Billion Kwh",1.8,2,2.5,2.3,2.5,2.7,2.6,2.7,2.9,2.8,2.9,2.9,2.9,3.2,3.3,3.6,3.8,4.1,3.9,4.7,4.9
"","Generation","Billion Kwh",2.1,2.4,3,3.1,3.8,3.8,4.6,4.6,4.7,5.1,4.9,5.3,5.4,5.4,5.4,5.6,5.6,5.7,5.8,6.7,7
"","Croatia",""
"","Consumption","Billion Kwh",9.9,10,10,10,12,13,12,12,12,13,13,14,14,15,15,16,15,16,16,16,15
"","Generation","Billion Kwh",9,8,8.6,10,9.4,11,12,10,12,12,12,13,12,12,12,12,12,14,10,10,13
"","Cuba",""
"","Consumption","Billion Kwh",9.3,9.2,9.4,10,11,11,11,12,12,12,13,12,12,13,14,14,14,14,14,14,15
"","Generation","Billion Kwh",11,11,12,13,13,13,14,14,14,15,15,15,14,16,17,17,17,16,17,17,18
"","Cyprus",""
"","Consumption","Billion Kwh",2.3,2.4,2.2,2.3,2.4,2.6,2.8,3,3.1,3.4,3.7,3.7,4,4.2,4.4,4.6,4.7,4.8,4.5,4.3,3.8
"","Generation","Billion Kwh",2.4,2.5,2.3,2.4,2.5,2.8,3,3.2,3.3,3.6,3.8,3.9,4.1,4.4,4.6,4.8,4.9,5,4.6,4.4,4
"","Czech Republic",""
"","Consumption","Billion Kwh",49,50,53,55,55,54,52,54,55,55,57,58,59,61,61,62,59,61,60,61,60
"","Generation","Billion Kwh",56,55,57,60,61,61,60,69,70,72,78,79,77,79,83,78,77,80,82,82,81
"","Denmark",""
"","Consumption","Billion Kwh",31,31,31,32,32,32,33,33,33,33,33,34,35,35,35,34,32,33,32,32,33
"","Generation","Billion Kwh",32,38,35,51,42,39,37,34,36,37,44,39,35,43,38,34,34,37,33,29,34
"","Djibouti",""
"","Consumption","Billion Kwh",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"","Generation","Billion Kwh",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4
"","Dominica",""
"","Consumption","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
"","Generation","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
"","Dominican Republic",""
"","Consumption","Billion Kwh",3.7,3.2,3.6,4.7,4.8,5.2,6.5,5.8,8.5,8.7,9.2,8,11,11,12,10,9.9,10,11,12,12
"","Generation","Billion Kwh",5.2,4.8,5.2,6.3,6.8,7.3,8.6,8.1,9.7,12,13,11,12,13,14,12,12,12,13,14,14
"","Ecuador",""
"","Consumption","Billion Kwh",5.5,6,6.1,6.9,6.9,7.4,7.6,7.8,8,8.3,8.6,10,10,12,14,15,16,16,18,19,20
"","Generation","Billion Kwh",7.3,8,8.2,9.1,9.4,9.9,10,10,11,12,11,13,12,14,17,18,18,19,20,22,22
"","Egypt",""
"","Consumption","Billion Kwh",43,45,47,48,52,55,60,63,68,72,78,83,89,96,105,110,117,122,134,137,140
"","Generation","Billion Kwh",48,50,53,52,56,60,65,74,79,84,90,96,103,109,118,124,131,139,149,155,159
"","El Salvador",""
"","Consumption","Billion Kwh",2,2.4,2.8,2.9,3.1,3.2,3.4,4.1,3.9,3.8,4,4,4.5,4.9,5.3,5.3,5.3,5.4,5.4,5.7,5.9
"","Generation","Billion Kwh",2.4,2.8,3.3,3.3,3.5,3.7,3.7,3.7,3.8,4,4.3,4.3,4.7,5.6,5.7,6,5.8,6.1,6,6.2,6.1
"","Equatorial Guinea",""
"","Consumption","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
"","Generation","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
"","Eritrea",""
"","Consumption","Billion Kwh",,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
"","Generation","Billion Kwh",,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"","Estonia",""
"","Consumption","Billion Kwh",5.7,5.9,5.6,5.9,6.2,6.1,5.7,5.9,5.8,6.1,6.5,6.8,6.9,7.3,7.7,7.9,7.5,7.9,7.7,8.2,8
"","Generation","Billion Kwh",8.6,8.6,8.2,8.6,8.7,8,7.8,8,8,8.1,9.6,9.7,9.6,9.2,11,10,8.3,12,12,11,13
"","Ethiopia",""
"","Consumption","Billion Kwh",1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.8,1.8,2,2.3,2.5,2.9,3.1,3.3,3.5,4.2,4.7,5.2,6
"","Generation","Billion Kwh",1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.7,2,2,2.3,2.5,2.8,3.2,3.5,3.7,3.9,4.9,6.3,7.5,8.6
"","Falkland Islands (Islas Malvinas)",""
"","Consumption","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
"","Generation","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
"","Faroe Islands",""
"","Consumption","Billion Kwh",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2
"","Generation","Billion Kwh",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"","Fiji",""
"","Consumption","Billion Kwh",0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8
"","Generation","Billion Kwh",0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9
"","Finland",""
"","Consumption","Billion Kwh",63,66,65,67,71,74,75,76,78,81,82,84,82,87,87,84,78,85,82,82,81
"","Generation","Billion Kwh",59,63,61,66,66,67,67,67,71,72,80,82,68,79,78,74,69,77,70,68,68
"","Former Czechoslovakia",""
"","Consumption","Billion Kwh",,,,,,,,,,,,,,,,,,,,,
"","Generation","Billion Kwh",,,,,,,,,,,,,,,,,,,,,
"","Former Serbia and Montenegro",""
"","Consumption","Billion Kwh",27,27,30,32,32,29,27,30,30,31,30,30,27,,,,,,,,
"","Generation","Billion Kwh",32,32,35,38,38,35,31,32,33,33,33,36,35,,,,,,,,
"","Former U.S.S.R.",""
"","Consumption","Billion Kwh",,,,,,,,,,,,,,,,,,,,,
"","Generation","Billion Kwh",,,,,,,,,,,,,,,,,,,,,
"","Former Yugoslavia",""
"","Consumption","Billion Kwh",,,,,,,,,,,,,,,,,,,,,
"","Generation","Billion Kwh",,,,,,,,,,,,,,,,,,,,,
"","France",""
"","Consumption","Billion Kwh",356,364,368,383,382,393,401,410,421,418,435,447,452,448,450,461,445,472,442,453,453
"","Generation","Billion Kwh",447,453,468,483,477,482,495,510,520,526,534,541,545,543,538,542,506,538,531,535,539
"","French Guiana",""
"","Consumption","Billion Kwh",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1,1,0.9,0.7,0.7
"","Generation","Billion Kwh",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.7,0.7,0.7,0.9,0.9,1,1.1,1,0.8,0.7
"","French Polynesia",""
"","Consumption","Billion Kwh",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6
"","Generation","Billion Kwh",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.7
"","Gabon",""
"","Consumption","Billion Kwh",1,0.8,0.9,0.9,1,1,1,1,1.1,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.4,1.5,1.6,1.7,1.8
"","Generation","Billion Kwh",1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.6,1.7,1.8,1.8,1.9,2,2.1,2.3
"","Gambia, The",""
"","Consumption","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"","Generation","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
"","Georgia",""
"","Consumption","Billion Kwh",8.4,7.7,5.5,5.3,5.7,6.7,6.7,6.3,6.2,6.4,6.8,7,7.4,6.7,6.9,7.1,6.8,7.6,8.4,8.5,9.1
"","Generation","Billion Kwh",9.5,8.7,6.6,7.1,7,7.9,7.9,7.3,6.8,7.2,7.1,6.8,7.1,7.1,8.2,8.3,8.4,10,10,9.5,9.9
"","Germany",""
"","Consumption","Billion Kwh",477,475,483,489,493,497,497,509,520,533,542,548,543,548,552,544,514,547,538,540,534
"","Generation","Billion Kwh",493,496,503,520,517,522,519,540,550,550,572,579,577,593,598,594,552,586,566,585,591
"","Germany, East",""
"","Consumption","Billion Kwh",,,,,,,,,,,,,,,,,,,,,
"","Generation","Billion Kwh",,,,,,,,,,,,,,,,,,,,,
"","Germany, West",""
"","Consumption","Billion Kwh",,,,,,,,,,,,,,,,,,,,,
"","Generation","Billion Kwh",,,,,,,,,,,,,,,,,,,,,
"","Ghana",""
"","Consumption","Billion Kwh",5.8,5.6,5.6,6.1,6.3,5.1,5.7,6,6.5,6,4.5,4.5,5.2,6.3,5.3,6,6.1,6.6,7.7,8.6,9.6
"","Generation","Billion Kwh",6.2,6.1,6.1,6.6,6.8,4.7,5.8,7.1,7.7,7.1,5.7,5.9,6.7,8.2,6.7,8.1,8.8,9.9,11,12,13
"","Gibraltar",""
"","Consumption","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
"","Generation","Billion Kwh",(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
"","Greece",""
"","Consumption","Billion Kwh",34,35,37,38,40,42,43,46,47,50,52,53,54,56,58,60,59,56,56,58,53
"","Generation","Billion Kwh",36,38,39,40,41,44,47,50,50,51,55,55,56,57,59,59,58,54,56,58,55
"","Greenland",""
"","Consumption","Billion Kwh",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
